,Unnamed: 0.1,index,Unnamed: 0,서울대공원부정단어리뷰,index.1,단어,번역
0,0,0,32, The air conditioner is not cool these days but there is nothing like it in terms of multishopping ,0,nothing,요즘 에어컨이 시원하지 않지만 멀티쇼핑에는 이만한게 없다
1,1,1,198,"I agree with most that the architectural display out side the Starfield COEX Mall is impressive to say the least. But inside? That's another story. Low ceilings, very dole and depressive. We felt as encased for a lack of better words.  It does not represent inside the modernistic approach from the outside. The quality of the stores are really average and we believed that a structure of this kind would have design better stores and with better choices. Most things once again, cheap Chinese stuff, disposable value items and again the infantile South Koreans with stores filled with teddy bears (for adult people) cute cartoon printed made in China socks (for adults) and the distribution of the stores....very confusing.  Not a well planned mall and nothing to offer except for the Starfield Library, which is really pretty and impressive. Two floors library with lots of colors and places to eat. Basically the only highlight of the Starfield COEX Mall which is pretty average.  Except for the Starfield Library which you can access directly from the streets, the rest of the mall is a waste of pure time. Not recommended.",1,nothing,"스타필드 코엑스몰 외부의 건축 전시물은 말할 것도 없이 인상적이라는 데 대부분 동의합니다. 하지만 내부? 그건 또 다른 이야기입니다. 천장이 낮고 매우 우울하고 우울합니다. 우리는 더 나은 단어의 부족에 둘러싸여 있다고 느꼈다. 그것은 외부에서 모더니즘적 접근 방식을 내부로 나타내지 않습니다. 상점의 품질은 정말 평균적이며 우리는 이러한 구조가 더 나은 상점을 설계하고 더 나은 선택을 할 수 있다고 믿었습니다. 또다시 대부분의 것들, 값싼 중국산 물건, 일회용품, 그리고 또 다시 영유아 남한들 가게 가득 테디베어(성인용) 귀여운 만화가 인쇄된 중국산 양말(성인용)과 유통 매장.... 매우 혼란 스럽습니다. 잘 계획된 쇼핑몰이 아니며 정말 예쁘고 인상적인 Starfield Library를 제외하고는 제공할 것이 없습니다. 다양한 색상과 먹을거리가 있는 2층 도서관. 기본적으로 꽤 평균인 Starfield COEX 몰의 유일한 하이라이트. 거리에서 바로 갈 수 있는 스타필드 도서관을 제외하고 쇼핑몰의 나머지 부분은 순수한 시간 낭비입니다. 권장하지 않습니다."
2,2,2,255,"Coex is very huge mall with lots of shops, restaurants and entertainment places like cinema, aquarium etc. However the best thing about this mall is the amazing libaray in the middle of the mall. If you tired after lots of walking at the mall, you can relax at the library even though most if the books in Korean. Shops are ordinary, nothing is unique and most of them is Korean product.",2,nothing,"Coex는 영화관, 수족관 등과 같은 많은 상점, 레스토랑 및 유흥 장소가 있는 매우 거대한 쇼핑몰입니다. 그러나 이 쇼핑몰의 가장 좋은 점은 쇼핑몰 한가운데에 있는 놀라운 리바레이입니다. 쇼핑몰에서 많이 걷다 지쳤다면 대부분의 한국어 책이라도 도서관에서 쉴 수 있습니다. 가게는 평범하고 특별한 것은 없으며 대부분이 한국 제품입니다."
3,3,3,297,This mall in gangnam area and it far from my Hotel Lotte city.In my opinion this mall is waste of time nothing especial and you can not compare it with lotte department store.It too expensive.This place is good for meeting not shopping.In fact this place was huge mall before change it.I will not come back,3,nothing,강남 지역에 있는 이 쇼핑몰은 내 호텔 롯데시티에서 멀리 떨어져 있습니다. 제 생각에 이 쇼핑몰은 특별한 것도 없고 롯데백화점과 비교할 수 없는 시간 낭비입니다. 너무 비싸요. 쇼핑이 아닌 만남에 좋은 곳입니다. 사실이 장소는 변경하기 전에 거대한 쇼핑몰이었습니다. 나는 돌아 오지 않을 것입니다.
4,4,4,340,"This is a big serpentine mall, lots of stores, nothing really special, bring crumbs to find your ay out!",4,nothing,이것은 큰 구불 구불 한 쇼핑몰이며 많은 상점이 있지만 특별한 것은 없습니다. 부스러기를 가져와서 찾으십시오!
5,5,5,405,It's a big mall. It's very modern. You can find everything and nothing at the same time. It's way too big. As a tourist this was not for me. I think it doesn't showcase the Korean culture. I don't know. I'm not a mall person I just came here because I had to see it for myself since it was my first time in Korea and it was on my way back from gangnam.  Skip this place if you don't have much time in Seoul. Come here if you have plenty of time.,5,nothing,큰 쇼핑몰입니다. 매우 현대적입니다. 당신은 동시에 모든 것을 찾을 수 있습니다. 너무 큽니다. 관광객으로서 이것은 나를위한 것이 아닙니다. 한국 문화를 보여주지 않는 것 같아요. 모르겠어요. 나는 쇼핑몰 사람이 아니라 한국에서 처음으로 강남에서 돌아오는 길에 직접 봐야했기 때문에 여기에 왔습니다. 서울에 시간이 많지 않다면 이곳을 건너뛰세요. 시간이 많으면 여기로 오세요.
6,6,6,461,"After reading all the rave online reviews of coex mall, we decided to visit it.But our visit was quite a letdown.The mall was pretty empty and looked quite outdated.Aside from the aquarium and duty free shop, there was really nothing much to see.Would recommend that you only visit this place if there are any ongoing exhibitions or showcases otherwise it is not worth the time.",6,nothing,코엑스몰에 대한 온라인 후기를 다 읽은 후 방문하기로 결정했습니다.하지만 우리의 방문은 꽤 실망스러웠습니다.몰은 꽤 비어 있고 꽤 오래되어 보였습니다.수족관과 면세점을 제외하고는 정말 볼 것이 별로 없었습니다. 참조하십시오. 진행중인 전시회 나 쇼케이스가있는 경우에만이 장소를 방문하는 것이 좋습니다. 그렇지 않으면 시간을 할애 할 가치가 없습니다.
7,7,7,470,"This is a huge mall with almost anything a person would need. It is very convenient if you live in the area, but nothing special.",7,nothing,이것은 사람이 필요로하는 거의 모든 것을 갖춘 거대한 쇼핑몰입니다. 이 지역에 거주한다면 매우 편리하지만 특별한 것은 없습니다.
8,8,0,27, I visited COEX in Samseongdong on a business trip and it was good ,8,visited,출장으로 삼성동 코엑스에 다녀왔는데 좋았어요
9,9,1,137, Its been a while since Ive visited Its been a while but the clean facilities were good ,9,visited,오랜만에 가봤는데 시설도 깨끗하고 좋아요
10,10,2,195,"会議での利用（大ホール）。 COEXモール内には、ショップ、水族館、図書館があります。 図書館は、本を提供する体制というより、内装や雰囲気重視で外国人的には見ごたえあります。  I visited for meeting (large hall). There are shops, aquariums and libraries in the COEX Mall. Libraries are more attractive to foreigners because of their emphasis on interior and atmosphere rather than the system of providing books.",10,visited,"회의에서의 이용(대형 홀). 코엑스 몰 내에는 상점, 수족관, 도서관이 있습니다. 도서관은, 책을 제공하는 체제라고 하는 것보다, 내장이나 분위기 중시로 외국인적으로는 볼 수 있습니다. I visited for meeting (large hall). There are shops, aquariums and libraries in the COEX Mall. Libraries are more attractive to foreigners because of their emphasis on interior and atmosphere rather than the system of providing books."
11,11,3,211,"Must the the most tourists-visited library in the world. A must-see, surely. Not large but the design is unique and visitor friendly. Rest of mall is quite standard with usual shops. There is an aquarium too.",11,visited,세계에서 가장 많은 관광객이 방문하는 도서관이어야 합니다. 꼭 봐야 합니다. 크지는 않지만 디자인이 독특하고 방문객에게 친숙합니다. 쇼핑몰의 나머지 부분은 일반적인 상점과 매우 유사합니다. 수족관도 있습니다.
12,12,4,212,"We visited Starfield Coex Mall on a Sunday noon in September 2019 . Upon stepping into the mall, we were so so impressed by the huge library which is located right in the centre of the mall. There is a mammoth collection of local and foreign books and magazines and the tall huge walls are lined with books as well. The library is very spacious with many seats available for reading and browsing pleasure. Besides the amazing library, Starfield Coex is a modern mall with everything shoppers need for fashionwears & accessories and services for all ages and also plenty of dinning choices. Understand that within this hige mall, there convention halls, cinema and aquarium. We didnt explore much as we were heading for other destinations given our short stay in Seoul. It is a beautiful Mall and l would love to return for another visit for this is a place to make me smile , especially the lovely iconic library .",12,visited,"2019년 9월 일요일 정오에 스타필드 코엑스몰을 방문했습니다. 쇼핑몰에 들어서자마자 우리는 쇼핑몰 중앙에 위치한 거대한 도서관에 깊은 인상을 받았습니다. 국내외 서적과 잡지의 방대한 컬렉션이 있으며 높고 거대한 벽에도 책이 늘어서 있습니다. 도서관은 매우 넓고 많은 좌석이 있어 책을 읽고 즐거운 시간을 보낼 수 있습니다. 놀라운 도서관 외에도 Starfield Coex는 모든 연령대를 위한 패션웨어 및 액세서리 및 서비스에 대해 쇼핑객이 필요로 하는 모든 것과 다양한 식사 선택을 제공하는 현대적인 쇼핑몰입니다. 이 하이게 몰 안에 컨벤션 홀, 영화관, 수족관이 있음을 이해하십시오. 우리는 서울에서의 짧은 체류를 감안할 때 다른 목적지로 향하고 있었기 때문에 많이 탐험하지 않았습니다. 그것은 아름다운 몰이고 나는 이것이 나를 미소 짓게하는 곳, 특히 사랑스러운 상징적 인 도서관이기 때문에 다시 방문하고 싶습니다."
13,13,5,242,We were staying near by and visited the mall frequently for shopping and dining. Great mall. Super clean. Lots to do and see.,13,visited,우리는 근처에 머물면서 쇼핑과 식사를 위해 쇼핑몰을 자주 방문했습니다. 훌륭한 쇼핑몰. 매우 깨끗합니다. 할 것과 볼 것이 많습니다.
14,14,6,252,"We have limited time visiting Korea but we made sure to visit Coex. We visited Coex near closing time so we went straight to the library. I love the library, it is a good place just to rest and read. I can spend my entire day here. I will surely go back here.",14,visited,한국을 방문하는 시간이 제한되어 있지만 코엑스를 꼭 방문했습니다. 코엑스는 폐관시간이 가까워서 바로 도서관으로 향했습니다. 나는 도서관을 좋아한다. 그저 쉬고 읽기에 좋은 곳이다. 여기에서 하루 종일 보낼 수 있습니다. 나는 확실히 여기로 돌아갈 것이다.
15,15,7,266,Specifically visited here just to see the Library within this shopping mall!! It was wonderful to be surrounded by so many books and so many people reading!! The glass roof is a great addition for those studying below. I'd love to know how they reach the ones at the top!!,15,visited,이 쇼핑몰 내의 도서관을 보기 위해 특별히 방문했습니다!! 정말 많은 책들과 많은 사람들이 책을 읽고 있는 모습이 멋졌습니다!! 유리 지붕은 아래에서 공부하는 사람들에게 큰 도움이 됩니다. 나는 그들이 정상에 있는 사람들에게 어떻게 도달하는지 알고 싶습니다!!
16,16,8,288,"We only visited here for the Brick Live Lego shop. During our short visit, it seems the mall has events at their exhibition halls.  In addition to restaurants, there were McD and other fast food joints. Mall is connected to the Seoul metro.",16,visited,우리는 Brick Live Lego 상점을 위해 여기에만 방문했습니다. 짧은 방문 기간 동안 쇼핑몰의 전시장에서 이벤트가 열리는 것 같습니다. 레스토랑 외에도 McD 및 기타 패스트 푸드 조인트가있었습니다. 몰은 서울 지하철과 연결되어 있습니다.
17,17,9,300,"After visiting SM Town, we visited the COEX mall next door and decided to grab lunch at one of the many restaurants located inside. The mall is massive: there are lots of stores and restaurants that we didn't have time to check out. What I liked about this mall was the underground passage that connected to the mall. We were there during Christmas and it was snowing, but due to the underground walkways we were able to cross to the other side without any difficulties from the weather.",17,visited,SM타운 구경을 마치고 바로 옆에 있는 코엑스몰을 둘러보고 그 안에 있는 많은 식당 중 한 곳에서 점심을 먹기로 했습니다. 쇼핑몰은 거대합니다. 우리가 체크아웃할 시간이 없었던 많은 상점과 레스토랑이 있습니다. 이 쇼핑몰이 마음에 들었던 점은 쇼핑몰과 연결된 지하 통로였습니다. 우리는 크리스마스에 거기에 있었고 눈이 내리고 있었지만 지하 보도 덕분에 날씨의 어려움없이 반대편으로 건너갈 수있었습니다.
18,18,10,308,"C1 ( 2017.04.13 ) I visited this shopping mall because I want to buy some books. There had many facilities like restaurant, shop, book store and theater, etc. Many brand shop and food court was operating, too. All was good with good atmosphere, but there was confused because of complicated load. Need detailed road sign, I think.",18,visited,"C1 ( 2017.04.13 ) 책을 사고 싶어서 이 쇼핑몰에 들렀습니다. 식당, 매점, 서점, 극장 등 많은 시설이 있었고 많은 브랜드샵과 푸드코트도 운영하고 있었습니다. 분위기가 좋아서 모두 좋았지만 복잡한 부하로 혼란이 있었습니다. 자세한 도로 표지판이 필요하다고 생각합니다."
19,19,11,310,Ok I wouldn't call it the hidden gem of Seoul . The shops are expensive and I wouldn't have even visited the place if it weren't for a meeting near by. The duty free Lotte mall attached to it demands not only your passport but the return e tickets before letting you buy anything.. so if you want something from there keep the required documents with you.,19,visited,"좋아, 나는 그것을 서울의 숨겨진 보석이라고 부르지 않을 것이다. 가게들이 비싸고 근처에서 모임이 없었다면 가보지도 못했을 곳입니다. 붙어 있는 롯데면세점 면세점에서는 여권 뿐만 아니라 왕복 티켓도 요구하고 있으니 구매 전 필요한 서류는 꼭 챙겨가세요."
20,20,12,326,"visited here since it's one of the biggest malls in korea. wasn't really too impressed by the shopping. but if you're an SM fan, there's an SM Coex Artium area which has a shop (usually packed with fans) and all sorts of other things to do. Also there's a city airport on level 1 that has a money changer that provides pretty decent rates.",20,visited,한국에서 가장 큰 쇼핑몰 중 하나이기 때문에 여기를 방문했습니다. 쇼핑에 그다지 감동하지 않았습니다. 그러나 SM 팬이라면 SM Coex Artium 구역에 상점(보통 팬으로 가득 차 있음)과 모든 종류의 할 일이 있습니다. 또한 꽤 괜찮은 요금을 제공하는 환전소가 있는 레벨 1에 도시 공항이 있습니다.
21,21,13,333,"One of the interesting places to visit in Seoul is the COEX Mall.I would say don't miss it. The best way to get there from the city center, if you are taking the subway, is to take line 3(the orange line). Line 2(green line) will also take there, but line 3 takes less than 25 minutes.Take line 3 to Seoul university station and then take line 2 to Samseong station. Whenever you get out of the train look at the station and vicinity map posted on the platform to see the closest exit to the mall. As you enter the mall, make a right and you will see the information desk and a virtual interactive map of the layout of the mall.Check this out before you start exploring the place. Check the various restaurants and the food court before you decide to eat. Believe me, you wouldn't want to miss out on some of the best food in Seoul, all under one roof. Also check out the various retail shops, just browse, even if you don't buy anything, this would be an interesting experience. Once you are done with the mall, check out the area around the mall. There is always something going on.When I visited in September, there was a free K-pop concert ( Korea Sale Festa) going on near the mall.",21,visited,서울에서 가볼 만한 흥미로운 곳 중 하나는 코엑스몰입니다. 놓치지 마세요. 지하철을 이용할 경우 도심에서 가장 좋은 방법은 3호선(주황색 라인)을 이용하는 것입니다. 2호선(녹색선)도 가는데 3호선을 타면 25분이 채 걸리지 않습니다. 3호선을 타고 서울대역에서 하차한 후 2호선을 타고 삼성역으로 갑니다. 기차에서 내릴 때마다 플랫폼에 게시된 역과 주변 지도를 보고 쇼핑몰에서 가장 가까운 출구를 확인하세요. 쇼핑몰에 들어서면서 우회전하면 안내 데스크와 쇼핑몰 레이아웃에 대한 가상 대화형 지도가 표시됩니다. 장소를 탐색하기 전에 이것을 확인하세요. 식사를 결정하기 전에 다양한 레스토랑과 푸드 코트를 확인하십시오. 저를 믿으십시오. 한 지붕 아래에서 서울 최고의 음식을 놓치고 싶지 않을 것입니다. 또한 다양한 소매점을 확인하고 검색만 하면 아무것도 사지 않더라도 흥미로운 경험이 될 것입니다. 쇼핑몰 이용이 끝나면 쇼핑몰 주변을 둘러보세요. 항상 무슨 일이 일어나고 있어요. 제가 9월에 방문했을 때는 쇼핑몰 근처에서 무료 K팝 콘서트(코리아세일페스타)가 열리고 있었어요.
22,22,14,338,"This mall is very much like every other mall. There is a very good variety of shops and it has all the major skincare brands and make up brands. The clothes shops are also very trendy and cool.  The food malls have a large variety to choose from, the is halal food for Muslims, which is very convenient and new. Last time I visited almost 2 years ago, the wasn't any halal places to eat. Now there is, which I am very happy about!  The staff are very helpful and friendly. The location is very easy to find, right next to Samseong station.  The mall is located in a very nice area, very up and coming!",22,visited,이 쇼핑몰은 다른 모든 쇼핑몰과 매우 유사합니다. 매우 다양한 상점이 있으며 모든 주요 스킨케어 브랜드와 메이크업 브랜드가 있습니다. 옷가게도 굉장히 트렌디하고 멋집니다. 푸드 몰에는 선택할 수 있는 다양한 종류가 있으며 무슬림을 위한 할랄 식품은 매우 편리하고 새롭습니다. 거의 2년 전에 마지막으로 방문했을 때 할랄 음식을 먹을 수 있는 곳이 없었습니다. 이제 거기에 대해 매우 기쁘게 생각합니다! 직원들은 매우 도움이되고 친절합니다. 위치는 삼성역 바로 옆이라 찾기도 쉽습니다. 쇼핑몰은 매우 멋진 지역에 위치하고 있습니다.
23,23,15,354,"When we visited this mall I kept wondering: maybe it's just because I am an American. We walked and walked and walked and we never found really much of anything. It was very strange. And then we would find ourselves in a giant, empty convention-hall lobby? All malls in Korea are not like this: we found several other malls to be sensibly laid-out and easy to navigate. Not so at the COEX Mall.",23,visited,우리가 이 쇼핑몰을 방문했을 때 나는 계속 궁금했습니다. 아마도 내가 미국인이기 때문일 것입니다. 우리는 걷고 걷고 걸었지만 정말로 많은 것을 찾지 못했습니다. 그것은 매우 이상했다. 그러면 우리는 거대하고 텅 빈 컨벤션 홀 로비에서 자신을 발견하게 될까요? 한국의 모든 쇼핑몰이 이렇지는 않습니다. 우리는 다른 여러 쇼핑몰이 합리적으로 배치되고 탐색하기 쉬운 것을 발견했습니다. 코엑스몰에서는 그렇지 않습니다.
